index,id_cart,total_cart,discountedTotal,userId,totalProducts,totalQuantity,id_product,title,price,quantity,total_product,discountPercentage,discountedPrice,big_sale,processed_ts
13,14,2121,2021,76,5,9,76,Silver Ring Set Women,70,2,140,13.57,121,True,1667987616.286083
13,14,2121,2021,76,5,9,30,Key Holder,30,2,60,2.92,58,False,1667987616.286083
13,14,2121,2021,76,5,9,88,TC Reusable Silicone Magic Washing Gloves,29,1,29,3.19,28,False,1667987616.286083
13,14,2121,2021,76,5,9,94,new arrivals Fashion motocross goggles,900,2,1800,3.85,1731,True,1667987616.286083
14,15,4339,4007,47,5,12,4,OPPOF19,280,1,280,17.91,230,True,1667987616.286083
14,15,4339,4007,47,5,12,100,Crystal chandelier maria theresa for 12 light,47,3,141,16.0,118,True,1667987616.286083
14,15,4339,4007,47,5,12,1,iPhone 9,549,2,1098,12.96,956,True,1667987616.286083
14,15,4339,4007,47,5,12,48,Women Strip Heel,40,3,120,10.83,107,True,1667987616.286083
14,15,4339,4007,47,5,12,94,new arrivals Fashion motocross goggles,900,3,2700,3.85,2596,True,1667987616.286083
15,16,4040,3414,15,5,10,3,Samsung Universe 9,1249,3,3747,15.46,3168,True,1667987616.286083
15,16,4040,3414,15,5,10,50,Women Shoes,36,3,108,16.87,90,True,1667987616.286083
15,16,4040,3414,15,5,10,67,Fashion Magnetic Wrist Watch,60,2,120,16.69,100,True,1667987616.286083
15,16,4040,3414,15,5,10,86,Bluetooth Aux,25,1,25,10.56,22,False,1667987616.286083
15,16,4040,3414,15,5,10,12,Brown Perfume,40,1,40,15.66,34,False,1667987616.286083
16,17,352,300,56,5,8,12,Brown Perfume,40,3,120,15.66,101,True,1667987616.286083
16,17,352,300,56,5,8,25,Gulab Powder 50 Gram,70,1,70,13.58,60,False,1667987616.286083
16,17,352,300,56,5,8,24,cereals muesli fruit nuts,46,2,92,16.8,77,False,1667987616.286083
16,17,352,300,56,5,8,90,Cycle Bike Glow,35,1,35,11.08,31,False,1667987616.286083
16,17,352,300,56,5,8,97,Metal Ceramic Flower,35,1,35,10.94,31,False,1667987616.286083
17,18,2476,2189,42,5,9,23,Orange Essence Food Flavou,14,2,28,8.04,26,False,1667987616.286083
17,18,2476,2189,42,5,9,25,Gulab Powder 50 Gram,70,2,140,13.58,121,True,1667987616.286083
17,18,2476,2189,42,5,9,9,Infinix INBOOK,1099,2,2198,11.83,1938,True,1667987616.286083
17,18,2476,2189,42,5,9,78,Rhinestone Korean Style Open Rings,30,2,60,8.02,55,False,1667987616.286083
17,18,2476,2189,42,5,9,63,Royal Blue Premium Watch,50,1,50,2.56,49,False,1667987616.286083
18,19,2492,2140,5,5,14,43,frock gold printed,600,3,1800,15.55,1520,True,1667987616.286083
18,19,2492,2140,5,5,14,77,Rose Ring,100,3,300,3.22,290,True,1667987616.286083
18,19,2492,2140,5,5,14,50,Women Shoes,36,3,108,16.87,90,True,1667987616.286083
18,19,2492,2140,5,5,14,31,Mornadi Velvet Bed,40,2,80,17.0,66,False,1667987616.286083
18,19,2492,2140,5,5,14,75,Seven Pocket Women Bag,68,3,204,14.87,174,True,1667987616.286083
19,20,315,279,75,5,8,66,Steel Analog Couple Watches,35,3,105,3.23,102,True,1667987616.286083
19,20,315,279,75,5,8,59,Spring and summershoes,20,1,20,8.71,18,False,1667987616.286083
19,20,315,279,75,5,8,29,Handcraft Chinese style,60,1,60,15.34,51,False,1667987616.286083
19,20,315,279,75,5,8,32,Sofa for Coffe Cafe,50,1,50,15.59,42,False,1667987616.286083
19,20,315,279,75,5,8,46,women's shoes,40,2,80,16.96,66,False,1667987616.286083
